Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
218.97665189329055,206.7065197268393,206.7065197268393,218.97665189329055,161
262.6874532923936,222.8460101416505,222.8460101416505,262.6874532923936,321
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
341.1373134159655,281.2503617205972,281.2503617205972,341.1373134159655,178
174.34396282549437,260.5739759793877,260.5739759793877,341.1373134159655,361
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
547.6685798013091,717.1126472495406,717.1126472495406,793.943191573725,328
726.630845590592,674.9532819129835,674.9532819129835,793.943191573725,632
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
547.6685798013091,717.1126472495406,717.1126472495406,793.943191573725,328
