Average Episodic Reward,Average Episodic N-Reward
48766.41422613003,48766.41422613003
48749.039048514984,48749.039048514984
48729.03901787032,48729.03901787032
48756.4142108077,48756.4142108077
48759.039063837314,48759.039063837314
48736.41418016303,48736.41418016303
48756.4142108077,48756.4142108077
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48759.039063837314,48759.039063837314
48736.41418016303,48736.41418016303
48749.039048514984,48749.039048514984
48736.41418016303,48736.41418016303
48739.03903319265,48739.03903319265
48736.41418016303,48736.41418016303
48753.789357778085,48753.789357778085
48746.41419548537,48746.41419548537
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48756.4142108077,48756.4142108077
48729.03901787032,48729.03901787032
48756.4142108077,48756.4142108077
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48763.789373100415,48763.789373100415
48771.16453539314,48771.16453539314
48766.41422613003,48766.41422613003
48766.41422613003,48766.41422613003
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48736.41418016303,48736.41418016303
48756.4142108077,48756.4142108077
48756.4142108077,48756.4142108077
48756.4142108077,48756.4142108077
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48736.41418016303,48736.41418016303
48739.03903319265,48739.03903319265
48759.039063837314,48759.039063837314
48729.03901787032,48729.03901787032
48749.039048514984,48749.039048514984
48719.03900254798,48719.03900254798
48759.039063837314,48759.039063837314
48739.03903319265,48739.03903319265
48740.84880950628,48740.84880950628
48766.41422613003,48766.41422613003
48766.41422613003,48766.41422613003
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48756.4142108077,48756.4142108077
48749.039048514984,48749.039048514984
48756.4142108077,48756.4142108077
48739.03903319265,48739.03903319265
48766.41422613003,48766.41422613003
48739.03903319265,48739.03903319265
48766.41422613003,48766.41422613003
48729.03901787032,48729.03901787032
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48756.4142108077,48756.4142108077
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48746.41419548537,48746.41419548537
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48729.03901787032,48729.03901787032
48766.41422613003,48766.41422613003
48746.41419548537,48746.41419548537
48759.039063837314,48759.039063837314
48746.41419548537,48746.41419548537
48746.41419548537,48746.41419548537
48739.03903319265,48739.03903319265
48759.039063837314,48759.039063837314
48739.03903319265,48739.03903319265
48756.4142108077,48756.4142108077
48763.789373100415,48763.789373100415
48766.41422613003,48766.41422613003
48739.03903319265,48739.03903319265
48759.039063837314,48759.039063837314
48746.41419548537,48746.41419548537
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48739.03903319265,48739.03903319265
48740.84880950628,48740.84880950628
48756.4142108077,48756.4142108077
48759.039063837314,48759.039063837314
48756.4142108077,48756.4142108077
48759.039063837314,48759.039063837314
48726.4141648407,48726.4141648407
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48756.4142108077,48756.4142108077
48739.03903319265,48739.03903319265
48759.039063837314,48759.039063837314
48766.41422613003,48766.41422613003
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48763.789373100415,48763.789373100415
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48766.41422613003,48766.41422613003
48749.039048514984,48749.039048514984
48766.41422613003,48766.41422613003
48759.039063837314,48759.039063837314
48719.03900254798,48719.03900254798
48759.039063837314,48759.039063837314
48763.789373100415,48763.789373100415
48749.039048514984,48749.039048514984
48756.4142108077,48756.4142108077
48739.03903319265,48739.03903319265
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48766.41422613003,48766.41422613003
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48756.4142108077,48756.4142108077
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48766.41422613003,48766.41422613003
48756.4142108077,48756.4142108077
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48759.039063837314,48759.039063837314
48756.4142108077,48756.4142108077
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48756.4142108077,48756.4142108077
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48766.41422613003,48766.41422613003
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48766.41422613003,48766.41422613003
48749.039048514984,48749.039048514984
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48729.03901787032,48729.03901787032
48759.039063837314,48759.039063837314
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48759.039063837314,48759.039063837314
48759.039063837314,48759.039063837314
48749.039048514984,48749.039048514984
48766.41422613003,48766.41422613003
48749.039048514984,48749.039048514984
48739.03903319265,48739.03903319265
48749.039048514984,48749.039048514984
48756.4142108077,48756.4142108077
