Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
1502.8187491604513,1125.2442027993027,1125.2442027993027,1502.8187491604513,418
1179.2551761396376,1311.4045068269636,1311.4045068269636,1822.560056756658,871
1688.3982896471884,1492.7692268758015,1370.2608855169685,1822.560056756658,1311
1492.7620814526508,1487.6829238114744,1399.543715319219,1822.560056756658,1764
1716.0950752962035,1481.229447535615,1414.6483103244273,1822.560056756658,2207
1864.6171333399755,1475.3748844196132,1424.820771686017,1864.6171333399755,2651
1279.0037111710644,1474.2860374486638,1431.6876609313517,1864.6171333399755,3093
1619.1281770606595,1538.502298233881,1453.2411533229829,1864.6171333399755,3564
1371.1792748397233,1560.9016586439348,1460.401882645259,1864.6171333399755,4020
1417.2443194815453,1492.3073603386745,1461.0543947261215,1864.6171333399755,4462
1396.2817602826583,1434.341910307189,1488.7056561622405,1864.6171333399755,4901
1637.0498758822644,1454.1995398497143,1489.6134013306714,1864.6171333399755,5340
2069.3899063711297,1537.6006626180163,1497.6719433106837,2069.3899063711297,5797
1384.7810045598328,1556.2376637395275,1503.324349316282,2069.3899063711297,6253
1759.210935287956,1552.402954591202,1511.9066447218013,2069.3899063711297,6709
1572.8785498133168,1509.3877447540299,1510.1269213831658,2069.3899063711297,7164
1509.4144386272587,1380.2097274932758,1493.0913827307234,2069.3899063711297,7584
1401.9139726770197,1377.7841003535389,1477.9832818070968,2069.3899063711297,8018
1387.8745347981344,1432.7122033838482,1467.453491678706,2069.3899063711297,8443
1428.4433619696151,1456.2584126868526,1470.7734922767327,2069.3899063711297,8899
1564.9333100056542,1472.4331728198076,1475.07174418123,2069.3899063711297,9344
1565.6408475093854,1479.275175609677,1475.7886194287255,2069.3899063711297,9804
1433.8982961895604,1503.8144251471213,1468.314496687051,2069.3899063711297,10259
1530.866871362556,1523.2893319231791,1469.1989530654555,2069.3899063711297,10713
1360.2218323886948,1530.4319286314362,1463.9202914950977,2069.3899063711297,11162
1288.4942027260486,1493.1095603097845,1465.9433161766067,2069.3899063711297,11596
1331.55449695934,1450.9794358756346,1478.0742331715694,2069.3899063711297,12026
1495.0862126738443,1502.384896731576,1490.8634754522138,2069.3899063711297,12489
1601.5677475820098,1536.1962277951384,1498.7710380538274,2069.3899063711297,12933
1500.471680911626,1564.0810645719016,1512.4280058292236,2069.3899063711297,13409
1770.0414751236142,1561.6507828766194,1516.6145600651898,2069.3899063711297,13857
1377.2645823103933,1503.3508956448566,1517.2431498362596,2069.3899063711297,14298
1369.1899371036343,1460.9701609646397,1508.0457072286936,2069.3899063711297,14734
1401.8678639007617,1438.1430602346302,1500.2138954985496,2069.3899063711297,15178
1424.6206891189297,1455.8195873426862,1493.1232389709437,2069.3899063711297,15625
1825.228744411364,1431.0807340047104,1487.808130237535,2069.3899063711297,16043
1449.4801726198737,1414.212330860646,1485.769817967946,2069.3899063711297,16476
1285.2415715983873,1430.3473183852966,1473.4006145682786,2069.3899063711297,16915
1670.5080634085539,1442.3541498299298,1467.001402374904,2069.3899063711297,17351
1518.03701788303,1480.3530901563643,1456.6550196851717,2069.3899063711297,17800
1384.3825303160095,1489.8007895158892,1452.6314037027582,2069.3899063711297,18231
1482.73857788813,1439.6638545018654,1443.9176114565737,2069.3899063711297,18679
1613.2765710885415,1541.738983118153,1468.7851681334607,2069.3899063711297,19151
1185.492971500529,1549.506898470087,1466.1903791036643,2069.3899063711297,19574
1674.3440547037353,1499.9165401188634,1477.6045586886962,2069.3899063711297,20032
1555.020725208117,1504.9301520967795,1480.9602627220784,2069.3899063711297,20461
1405.0039799122392,1434.4795993799241,1481.658012392552,2069.3899063711297,20894
1413.2605158400206,1402.9680769319762,1475.484414431415,2069.3899063711297,21328
1650.4348854079133,1476.6386555264403,1488.5149135318543,2069.3899063711297,21789
1604.3905002845263,1529.2360667125795,1485.2610097426575,2069.3899063711297,22241
1555.783003852543,1526.9388139506468,1495.9425184188053,2069.3899063711297,22704
1366.3080425692128,1561.2744342585554,1509.5831256939957,2069.3899063711297,23158
1485.9375724597667,1504.9587730741391,1488.586476410003,2069.3899063711297,23612
1444.2469773953294,1437.135483727157,1487.1088427454094,2069.3899063711297,24042
1554.9591285419447,1464.5348034825845,1481.5101290827472,2069.3899063711297,24489
2024.5557740683591,1565.0321066529975,1499.129233656653,2069.3899063711297,24956
1527.0399218074854,1556.0108401953044,1505.816377245823,2069.3899063711297,25397
1672.8018897038332,1529.8557652570346,1524.506771321665,2069.3899063711297,25859
1543.3759250947578,1549.6806233870059,1520.4247708179362,2069.3899063711297,26303
1611.2954496313582,1575.1118223206436,1533.6819224432777,2069.3899063711297,26785
1727.038045840826,1550.904123165122,1525.217832660831,2069.3899063711297,27214
1364.5055810025926,1479.875041050469,1517.4020438016603,2069.3899063711297,27651
1434.1187343657227,1480.69497678158,1520.3650734023195,2069.3899063711297,28097
1574.129554496375,1499.4551277813516,1529.8659726124993,2069.3899063711297,28551
1346.952919235305,1473.3856825699768,1522.1352492197977,2069.3899063711297,28973
1406.6588699332156,1426.6543150239627,1502.1904142866924,2069.3899063711297,29405
1369.1433697844275,1461.7692376130994,1503.286928703357,2069.3899063711297,29849
1433.8501882361425,1509.6383322716167,1498.146927689609,2069.3899063711297,30301
1528.4857487696227,1569.4341802294207,1507.23764007184,2069.3899063711297,30766
1396.1598317482863,1529.4691432672043,1489.018391878921,2069.3899063711297,31209
1572.7039864959809,1497.769497869906,1496.6107150127966,2069.3899063711297,31670
1372.5004513712272,1516.7637765406253,1496.3961389769527,2069.3899063711297,32120
1557.8420498983655,1495.1958949982884,1499.5108986561381,2069.3899063711297,32572
1475.1864929146113,1436.1859568656757,1483.742304793817,2069.3899063711297,32996
1643.929427465995,1462.1466992655264,1497.2631019952482,2069.3899063711297,33456
1466.1949579764125,1517.0396692687716,1501.8193756427788,2069.3899063711297,33896
1659.8341489990132,1512.5349807256944,1507.4162506177672,2069.3899063711297,34356
1300.5441611336655,1472.0246114351987,1494.2966314754951,2069.3899063711297,34785
1664.0906692692035,1517.4531860568363,1497.0200517832504,2069.3899063711297,35246
1410.8515577771093,1511.2601890291512,1490.6548406278844,2069.3899063711297,35673
1414.6566816008853,1403.5488642970465,1478.1759250686782,2069.3899063711297,36110
1283.6098111557199,1457.1476938138644,1478.7316240825326,2069.3899063711297,36556
1722.5926644847518,1549.5716419010828,1489.0510744492371,2069.3899063711297,37009
1300.2386064222203,1544.3962620437462,1500.3736851181466,2069.3899063711297,37450
1357.7740141653444,1513.5832804481095,1499.338390685754,2069.3899063711297,37901
1295.755264111595,1556.1353820556772,1508.1928276755273,2069.3899063711297,38357
1447.2235037266887,1510.6103259757529,1498.9534597357656,2069.3899063711297,38797
1651.1492605579126,1488.628681736635,1511.513641735815,2069.3899063711297,39243
1630.6080736376664,1512.6229164412687,1497.9874058126522,2069.3899063711297,39681
1226.2854688873988,1457.7726155150522,1500.816127032995,2069.3899063711297,40110
1503.6105703098233,1420.7698812948315,1501.4316092122092,2069.3899063711297,40540
1350.0908308527407,1447.3556160687176,1498.8577114839657,2069.3899063711297,40979
1306.8212273263277,1436.5083624705765,1478.818953326108,2069.3899063711297,41411
1515.8177835863792,1498.2930167014902,1489.6370624155143,2069.3899063711297,41872
1388.2235487916798,1568.0940045807151,1489.7210981526289,2069.3899063711297,42328
1571.3916188338326,1530.310669153322,1484.4721198350435,2069.3899063711297,42780
1811.1456936098002,1488.58313490491,1485.3156599384602,2069.3899063711297,43214
1481.6859693680894,1502.689034035304,1487.2841902947769,2069.3899063711297,43671
1411.812359806618,1509.6101916356154,1484.7131149773297,2069.3899063711297,44116
1637.4716837589517,1543.4575967743663,1504.4211865466395,2069.3899063711297,44588
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
1449.0294328862692,1067.6979792887319,1067.6979792887319,1449.0294328862692,405
1391.2765139863593,1246.5057771380184,1246.5057771380184,1560.2682410801538,838
1284.0060712773254,1410.8902662114044,1296.4928372371803,1581.5376068877508,1261
1167.7645109485832,1389.6106451229234,1318.058211130471,1600.6962508338388,1687
1558.7705793466907,1462.1111408142347,1362.740158668002,1600.6962508338388,2140
1442.4107088023045,1482.2315640643756,1372.782662108439,1614.4918333184678,2579
1538.1399255320086,1463.74174395415,1391.5977544640443,1660.7359435740705,3040
1605.064034104011,1448.771941463685,1391.7799819472505,1660.7359435740705,3473
1344.287838937678,1379.613711646366,1388.9346338378937,1660.7359435740705,3915
1363.9493964375201,1358.05118462931,1385.034222483662,1660.7359435740705,4346
1427.7285827942005,1426.9462879685416,1428.6606301189393,1660.7359435740705,4794
1570.6023364251446,1476.948099857779,1431.1226870276148,1660.7359435740705,5242
1343.9814519641363,1426.5882124130228,1431.8002193592629,1660.7359435740705,5663
1439.3211748214137,1369.5590833700394,1427.1123746770377,1660.7359435740705,6099
1553.5989558357473,1376.2973959831183,1414.6374703930396,1660.7359435740705,6525
1433.7190066004127,1448.2645075067194,1420.3189633655065,1725.447154274289,6967
1448.1877549510214,1420.2364870531578,1405.9364190128413,1725.447154274289,7389
1530.8767298854484,1395.138851502035,1409.5923453731766,1725.447154274289,7843
1215.5759226144908,1382.918087532073,1406.5972941899824,1725.447154274289,8265
1311.483854991905,1346.249400488626,1407.2319885450397,1725.447154274289,8682
1819.9738432756374,1377.7094918568453,1396.7499349676436,1819.9738432756374,9114
1513.7558844474358,1405.964619751842,1393.0352925238526,1819.9738432756374,9555
1344.6512350030312,1457.8219208239464,1402.9966766498283,1819.9738432756374,10006
