Epoch,Epoch Reward,Avg Reward (last 10)
10,38.190624330177116,41.39402322053961
20,44.18445078445809,38.81746809961325
30,60.39759383799965,42.53023237189912
40,42.274148232085324,41.906865192796126
50,33.85109015157728,34.612259890785666
60,21.432900675029977,33.89740599372711
70,56.261710615258096,45.27816560944163
80,48.527407026869675,40.62272036117695
90,34.977972390058106,37.48551892797742
100,43.70403332864815,45.864375628610006
110,40.5252118245995,41.268666430187864
120,25.65212230965718,37.05451735550243
130,29.962886148762827,39.01514222965405
140,42.38543144756398,39.41993315505346
150,49.458653201438175,40.231751985345525
160,39.747140744151906,40.93509285031811
170,32.15211002931522,36.25077525472405
180,39.44703569126453,34.90206340908834
190,44.31427324387802,40.68553165035996
200,61.84089841781257,46.34124473342278
210,23.017501218166284,33.27072086688462
220,23.329555415719394,37.17146828218277
230,10.984533402277346,39.930288796782676
240,48.47984570633423,37.179390396503535
Epoch,Epoch Reward,Avg Reward (last 10)
10,38.190624330177116,41.39402322053961
20,44.18445078445809,38.81746809961325
30,60.39759383799965,42.53023237189912
40,42.274148232085324,41.906865192796126
50,33.85109015157728,34.612259890785666
60,21.432900675029977,33.89740599372711
70,56.261710615258096,45.27816560944163
Epoch,Epoch Reward,Avg Reward (last 10)
10,38.190624330177116,41.39402322053961
20,44.18445078445809,38.81746809961325
30,60.39759383799965,42.53023237189912
Epoch,Epoch Reward,Avg Reward (last 10)
10,7.185852099763448,48.547479148135146
20,10.230271189100076,25.265476952831794
30,40.477695224035934,35.049720069702964
40,51.71511998520034,45.96223520026045
50,-2.2249229481627495,39.63586208596449
60,74.84747303042397,40.682981706149874
70,79.83622400943071,50.174253274452646
80,62.74674951328544,34.72271704923302
90,75.27737433223407,55.708882388488576
100,8.954838122404041,38.19062433017711
110,32.26488749736282,13.263814315176012
120,62.17264299824624,47.553738913139206
130,65.4273810336372,45.62056614678387
140,61.97005761709982,44.82145018884326
150,-0.01283632287698211,50.720180162922006
160,15.270995667555937,34.894448728923145
170,67.41810926675609,38.77409684359391
180,48.561572356243595,41.67482592452501
190,-6.473373205119742,26.66710898776795
200,95.99753491296198,44.1844507844581
210,38.80665255291636,14.821482280228626
220,50.44403159599349,48.50322450905564
230,16.10245953273439,33.97934367835936
240,86.41215471340857,48.48900606150022
250,16.270103345520923,52.137095951776146
260,26.190251947929994,37.04846974835354
270,69.94095454604002,45.57045776430259
280,80.1931314628336,47.79075067717388
290,33.85326858149491,36.564899210241634
300,88.73395658531959,60.39759383799965
310,-24.226146765232528,29.056285723748534
320,25.685137657849722,43.2257944896969
330,65.79897305964914,38.656873948505414
340,44.65211270569492,34.6470064371198
350,-6.100781417954099,39.65324001727198
360,5.188093733408511,52.62796026434652
370,36.982043195648494,55.2545266398695
380,14.868608558573445,43.95831095520556
390,69.48625295762264,39.71450522011174
400,68.86235088003323,42.274148232085324
410,56.76216084104837,42.45294833194181
420,11.895471234095112,35.538338567062965
430,58.0372150611253,38.181759859784854
440,8.284462877592478,31.507017535877775
450,38.56517888098013,26.990735688851554
460,81.11812192887132,34.28516807966876
470,75.6569334200348,41.07493058065408
480,69.6958671298998,32.35337253912021
490,63.62004491081109,29.887237573317304
500,50.340197208220346,33.85109015157728
510,88.77522956055188,29.462467758806383
520,2.691989649984862,22.068416102317826
530,58.94228061319502,53.340416920868336
540,24.913598097703336,37.165335301007715
550,13.75350323288244,33.357974203544536
560,6.876786866888725,40.98753063478818
570,23.940188315860773,36.991005309227695
580,7.036148853893199,33.278450927937676
590,26.742617035145066,30.889562103742765
