Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
2185.2196019451426,2073.2969736811933,2073.2969736811933,2190.4853141046633,559
1879.6791568603708,2031.603015478484,2031.603015478484,2190.4853141046633,1120
2154.644563154765,2068.227464206009,2069.917300697737,2283.418004615149,1689
1934.22175788827,2000.2565348418043,2015.929775160144,2283.418004615149,2221
2134.3029190771695,1890.502022630463,1998.1511894708276,2283.418004615149,2759
1935.8191618931749,1852.367500081762,1961.4090168006837,2283.418004615149,3291
1972.0377909178733,1840.1448869232277,1953.0065316000848,2283.418004615149,3832
1928.254959050547,1901.1727412558491,1946.349947914475,2283.418004615149,4373
1708.3441395652208,1864.5620618005523,1933.352204977966,2283.418004615149,4929
1859.2477149005967,1842.291285349293,1925.5382154014387,2283.418004615149,5456
1866.127848444532,1870.1487203458455,1906.7170311812195,2283.418004615149,5986
1931.3552267403534,1883.6132768418217,1895.940267674106,2283.418004615149,6530
1887.4323700575667,1963.7790282884866,1885.827343997715,2287.7790558712013,7093
1846.3958791942835,2039.3599321427725,1903.7609471342998,2339.177159287828,7635
1780.1359851193108,2020.3763362027462,1911.8022067121717,2339.177159287828,8189
1596.2572723457924,2049.529352454084,1943.1933176087641,2615.4383343193645,8756
1878.5467696514486,2020.3812588589255,1947.8494810993113,2615.4383343193645,9294
2072.9608384212675,2025.6899264158753,1968.0967546407692,2615.4383343193645,9842
2003.8651532956083,2038.519600490464,1982.6409888372937,2615.4383343193645,10384
1868.530233297593,2031.7058587912713,2005.9796693291653,2615.4383343193645,10959
2257.9977456451097,2102.9632157919614,2029.2038879265172,2615.4383343193645,11507
2157.0499988373444,2064.4912609308917,2042.155266146979,2615.4383343193645,12032
2195.3612937469165,2116.0796987989006,2059.6640220285994,2615.4383343193645,12592
1705.762891898489,2125.9103258017367,2059.465344878772,2615.4383343193645,13131
2229.1286128275246,2090.737787978417,2073.736312383734,2615.4383343193645,13697
1752.9835175465928,2116.3730643039644,2072.8340872487483,2615.4383343193645,14258
2018.2078019037785,2037.8736840603567,2077.2347974240197,2615.4383343193645,14801
2105.11230350572,2002.5247242090434,2068.2010468073813,2615.4383343193645,15348
1937.1639086490752,2013.7280630321443,2072.276489932356,2615.4383343193645,15903
1902.5101944015296,2092.1407789689806,2080.2880308429235,2615.4383343193645,16469
2077.073821633082,2132.4730850016063,2078.178463774285,2615.4383343193645,17029
2326.311348869149,2090.6717845732705,2085.5241355713993,2615.4383343193645,17579
2191.608249191101,2108.5507947011706,2076.6726829547392,2615.4383343193645,18131
1881.3846053863513,2049.1544923781535,2070.172968886682,2615.4383343193645,18671
1857.2690295192788,1979.5256763664788,2054.430260632351,2615.4383343193645,19216
2234.114538309313,2052.6133681471006,2057.4210296553097,2615.4383343193645,19767
2045.1256601337561,2052.8144306338263,2057.418409947045,2615.4383343193645,20308
1826.1317560331456,2064.8100288407645,2069.8780905816543,2615.4383343193645,20862
2307.589561575328,2128.0487829452895,2080.2825539296746,2615.4383343193645,21413
2069.1194873246122,2088.4403193358858,2069.137998655035,2615.4383343193645,21965
2100.8565980412814,2091.4501263108573,2072.0779621915244,2615.4383343193645,22516
2120.612775823311,2114.3001874434804,2073.8636792290768,2615.4383343193645,23071
2117.363164468569,2078.504398197604,2066.068682890811,2615.4383343193645,23622
2044.7391650822112,2077.309458203671,2079.4946723941803,2615.4383343193645,24172
1669.2318306302004,2055.362895145273,2081.23612664657,2615.4383343193645,24714
1933.2434894058006,1984.6961835422067,2065.9112354732015,2615.4383343193645,25244
1908.4385116973215,2029.175800750931,2076.5084006699913,2615.4383343193645,25794
1966.7932433830167,2124.156286913222,2077.7804870876926,2615.4383343193645,26337
2220.1722674526254,2176.5732199299237,2086.213288066918,2615.4383343193645,26901
2744.6206682833144,2295.03180604681,2119.098784429878,2744.6206682833144,27483
1864.9515219505677,2279.7284303134206,2123.868948867431,2744.6206682833144,28039
1926.289792895841,2161.699204083977,2128.5785877579774,2744.6206682833144,28598
2160.2233103022186,2088.8570201313914,2125.9394732541878,2744.6206682833144,29139
2004.691600377093,2023.1679909504874,2117.75029430734,2744.6206682833144,29689
1738.7223661007533,2047.8482849136988,2124.4365512078734,2744.6206682833144,30238
2223.970217704381,2042.5280513253597,2129.316667863971,2744.6206682833144,30786
2412.446806913602,2145.5655331461585,2147.7144976869185,2744.6206682833144,31371
2166.5201975774075,2173.7241798645264,2139.230246454232,2744.6206682833144,31918
2325.5557765921367,2084.667315488751,2129.333316798684,2744.6206682833144,32470
1732.7682011811635,2068.1866038090584,2093.861206006682,2744.6206682833144,33010
2272.4092266801554,2065.724969327678,2086.5326246015356,2744.6206682833144,33565
2080.1855745673356,2090.8609680733107,2079.6935588045485,2744.6206682833144,34100
2171.708999634996,1969.7119022087434,2062.7036010170063,2744.6206682833144,34629
1999.6149847139466,2040.3300242316313,2083.125965460777,2744.6206682833144,35205
2180.160780343831,2127.9357538323343,2078.7210948007328,2744.6206682833144,35750
2025.9887059502776,2081.6795852363166,2090.9562722429687,2744.6206682833144,36313
2129.6549918634128,2159.776349617092,2081.5632580949195,2744.6206682833144,36899
1904.6883897795901,2104.631906603193,2077.137817590702,2744.6206682833144,37446
1943.1271423381957,2029.296645271673,2070.4891240515044,2744.6206682833144,37985
1981.199913624449,2156.944440528958,2094.889384934682,2744.6206682833144,38569
2137.9079351744363,2254.315089054439,2108.2071479968563,2744.6206682833144,39141
1977.1208229243596,2227.0493820483225,2122.127067729684,2744.6206682833144,39711
2290.777777519604,2196.6765423226525,2153.6000760196384,2744.6206682833144,40279
