Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
1090.45578044395,1269.9354871069688,1269.9354871069688,1394.3329001584384,421
1394.0120108316926,1281.9105400348703,1281.9105400348703,1495.7077854141214,869
1129.0225444249215,1261.2410085392119,1264.1391680617976,1495.7077854141214,1296
1102.0914720158803,1191.6296736380204,1236.7701068364454,1495.7077854141214,1719
1388.93692939734,1179.0381606885055,1230.0987651124808,1495.7077854141214,2146
1412.0138914515314,1235.018864787071,1236.186359486654,1619.906143652825,2585
1176.9114502665245,1196.561381711827,1220.5166555694366,1619.906143652825,3004
1454.8830046115725,1174.2056365863314,1220.6911787615732,1619.906143652825,3441
990.0735432282906,1163.5237922636998,1207.8515748348284,1619.906143652825,3856
1045.9867512794772,1130.6316871931517,1202.679280447889,1619.906143652825,4266
1066.1742517336381,1133.8127541857937,1186.8354194778076,1619.906143652825,4680
1168.0316898725814,1156.6959962975327,1177.6363717004213,1619.906143652825,5096
1001.7264739234549,1183.7933752987942,1171.3458928297239,1619.906143652825,5508
1263.872424566932,1137.4973216726244,1166.809901307342,1619.906143652825,5914
1405.3321305714042,1239.000905579849,1183.3384418079927,1619.906143652825,6355
895.9799729226785,1278.4665110962626,1175.4994305691805,1619.906143652825,6773
1110.1803789334886,1232.001373653699,1190.4264401963671,1619.906143652825,7191
1197.7099120510177,1247.5622794792603,1190.1707591477661,1619.906143652825,7623
1352.3383651254894,1299.6968324641323,1217.6610482364536,1619.906143652825,8064
1434.878728845591,1291.990856917462,1222.4425930926284,1619.906143652825,8491
1145.1328028231756,1238.0959048977434,1238.5176783788436,1619.906143652825,8916
1341.7631657837956,1298.5692229262718,1250.817238418376,1619.906143652825,9352
1198.2461606849824,1308.5622702120356,1263.4714573614917,1619.906143652825,9777
1228.5484555226917,1282.6179434083062,1279.8413627655127,1619.906143652825,10204
1083.1714900728475,1248.9645468104375,1265.4641856076094,1619.906143652825,10613
1249.4594304820273,1264.5472091955542,1277.0575023853708,1619.906143652825,11045
1211.6274923842363,1303.9509550013588,1279.8541018771416,1619.906143652825,11473
1344.4748738942135,1286.3280994564216,1284.8106663808032,1619.906143652825,11903
1123.3601893790974,1283.6328990509494,1276.641315194505,1619.906143652825,12340
1034.839640705361,1243.6795420730323,1275.1484034119171,1619.906143652825,12749
1084.3372339860077,1238.9206337751536,1276.8062609699869,1619.906143652825,13182
1261.5638001785942,1277.5970605278894,1270.9539709322407,1619.906143652825,13612
1061.689675183938,1222.8874326760592,1259.6712934627917,1619.906143652825,14021
1166.836942684068,1197.525612762851,1253.9355048031498,1619.906143652825,14454
1454.8742827150259,1351.849641120557,1280.248312324816,1669.1221731575547,14932
1029.4351101596537,1330.6852245683176,1267.1631078777025,1669.1221731575547,15347
1471.3582040436108,1241.8381411445607,1267.825749553456,1669.1221731575547,15782
1277.3663775659,1267.3008070934259,1263.3576494051035,1669.1221731575547,16199
1265.901273083513,1253.7045332175896,1261.8400763867842,1669.1221731575547,16627
