Average Episodic Reward,Average Episodic N-Reward
59025.82456897624,59025.82456897624
59042.086321312505,59042.086321312505
59048.06887973305,59048.06887973305
59134.39594419129,59134.39594419129
59055.7954837664,59055.7954837664
58918.93330959413,58918.93330959413
59051.955943286324,59051.955943286324
59106.93611964081,59106.93611964081
59105.83236149324,59105.83236149324
59011.26350375525,59011.26350375525
59061.60090006454,59061.60090006454
59059.08365834402,59059.08365834402
59080.93294660978,59080.93294660978
59095.98205531888,59095.98205531888
59083.45927403136,59083.45927403136
59118.19205579121,59118.19205579121
59093.924265944064,59093.924265944064
59097.772447053365,59097.772447053365
59136.77146276338,59136.77146276338
59009.28670597592,59009.28670597592
59099.59481299836,59099.59481299836
59052.10973117205,59052.10973117205
59027.27152571599,59027.27152571599
59125.55529922198,59125.55529922198
59013.069117378574,59013.069117378574
59172.75593155447,59172.75593155447
59042.67990171673,59042.67990171673
59078.85741517071,59078.85741517071
59044.171704134904,59044.171704134904
59089.91728917206,59089.91728917206
59092.483454230896,59092.483454230896
59111.66291311996,59111.66291311996
59065.50900380709,59065.50900380709
59119.93498330856,59119.93498330856
59005.248867184666,59005.248867184666
59095.423553364795,59095.423553364795
58966.73228565258,58966.73228565258
59069.96146877227,59069.96146877227
59021.84498782615,59021.84498782615
59019.83608374385,59019.83608374385
58971.67483100598,58971.67483100598
59090.62810915925,59090.62810915925
59108.28723227202,59108.28723227202
58941.81427594857,58941.81427594857
59026.26816673437,59026.26816673437
59127.87432498632,59127.87432498632
59167.368835565445,59167.368835565445
59128.321232925904,59128.321232925904
59073.057942871375,59073.057942871375
59102.671542375014,59102.671542375014
59035.43368287098,59035.43368287098
59073.57516087595,59073.57516087595
59219.483500915754,59219.483500915754
58938.367533609126,58938.367533609126
59027.91450048854,59027.91450048854
59128.798375019265,59128.798375019265
59093.15865117671,59093.15865117671
58977.15335747484,58977.15335747484
59135.41642460153,59135.41642460153
59061.241199800985,59061.241199800985
59006.128149997865,59006.128149997865
58960.151502693094,58960.151502693094
59012.86854140388,59012.86854140388
58998.795081919416,58998.795081919416
59048.113056954135,59048.113056954135
59056.69124862198,59056.69124862198
59120.3679217947,59120.3679217947
59116.206493080106,59116.206493080106
59027.49566778261,59027.49566778261
59091.58432249327,59091.58432249327
59102.50764603942,59102.50764603942
59072.16226693448,59072.16226693448
59220.59849445456,59220.59849445456
59084.48706234154,59084.48706234154
59088.838655029795,59088.838655029795
59010.61324852297,59010.61324852297
59166.918368239116,59166.918368239116
59164.50354643882,59164.50354643882
58975.71769747962,58975.71769747962
59018.82179773259,59018.82179773259
58911.67834675178,58911.67834675178
59124.493977145554,59124.493977145554
59171.280443166215,59171.280443166215
59137.05439714899,59137.05439714899
59205.7322857856,59205.7322857856
59180.06753828123,59180.06753828123
59080.878095012326,59080.878095012326
59119.6711112355,59119.6711112355
59209.64289757151,59209.64289757151
59108.5573807556,59108.5573807556
59038.07218528758,59038.07218528758
59103.21086572838,59103.21086572838
59047.78104446741,59047.78104446741
58997.6900062822,58997.6900062822
59094.46134636807,59094.46134636807
58962.27409656644,58962.27409656644
58973.03428732075,58973.03428732075
58995.223782119385,58995.223782119385
59073.355665640476,59073.355665640476
58963.64493844237,58963.64493844237
59089.818655609844,59089.818655609844
59011.74134967627,59011.74134967627
58983.652088195406,58983.652088195406
59104.938669313975,59104.938669313975
59098.12426540143,59098.12426540143
58991.94357933905,58991.94357933905
59061.98365408781,59061.98365408781
59082.80725245366,59082.80725245366
59030.821031718915,59030.821031718915
59083.13546347162,59083.13546347162
58924.87669799227,58924.87669799227
59079.324978515564,59079.324978515564
59042.32883972176,59042.32883972176
59010.42709690526,59010.42709690526
59027.01331152338,59027.01331152338
59067.54719138582,59067.54719138582
58932.01944433525,58932.01944433525
59093.77989167042,59093.77989167042
59054.05366279643,59054.05366279643
59028.42494435357,59028.42494435357
59058.89517510816,59058.89517510816
59029.27038958241,59029.27038958241
59074.497693298086,59074.497693298086
59006.40998034535,59006.40998034535
59075.87292604301,59075.87292604301
59071.384813182056,59071.384813182056
59026.95159100855,59026.95159100855
59088.89764003534,59088.89764003534
59194.25228059707,59194.25228059707
59028.89442337794,59028.89442337794
59088.88160562777,59088.88160562777
59132.891179600694,59132.891179600694
59061.63471952595,59061.63471952595
59035.28883098504,59035.28883098504
59037.90496253854,59037.90496253854
59060.85870122721,59060.85870122721
58979.76880659603,58979.76880659603
59105.47531631097,59105.47531631097
59159.24542727504,59159.24542727504
59087.66587722296,59087.66587722296
