Epoch,Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
5,235.70934966652626,212.68327590994272,212.68327590994272,235.70934966652626,161
10,232.82643804794083,217.48040565837582,217.48040565837582,240.89618343137823,323
15,191.02571293293562,222.37948162382696,219.14741305253222,264.6632844150295,485
20,230.47950561083763,217.58068243781273,217.53054404809427,264.6632844150295,651
25,233.00312645316563,218.80275260845647,219.00954887490192,264.6632844150295,812
30,222.8035009568187,215.98216577352463,217.014417956571,264.6632844150295,973
35,224.39301138669202,208.6311208333891,216.04428372018396,264.6632844150295,1138
40,193.70424136461435,206.0604222012227,214.27591901773394,264.6632844150295,1295
45,235.4009153848649,216.6752481738168,216.1844980432135,264.6632844150295,1456
50,263.08936432600666,232.83730553077893,217.98819632034295,264.6632844150295,1618
55,223.93493075571422,216.64313988095847,216.62634862408956,264.6632844150295,1781
60,240.61977593322405,200.18851361070887,214.52981791080956,264.6632844150295,1939
65,193.08595259901122,219.11332223250557,215.97311674582528,271.6973533637285,2103
70,206.00907893828816,230.11670574748132,217.0370225727433,276.5227230522897,2266
75,221.85476118119885,205.97295135035674,213.40715649420537,276.5227230522897,2420
80,219.1827730543127,205.36492471986853,214.91357436201204,276.5227230522897,2580
85,205.92692557857262,215.6814105929277,214.8172144461131,276.5227230522897,2741
90,170.18694376772683,202.54199149497143,214.20988822076185,276.5227230522897,2906
95,198.63534134288392,194.172331473664,210.3166311060825,276.5227230522897,3066
100,229.29854018269936,198.8993216616639,207.4222914469388,276.5227230522897,3224
105,199.45504851111662,211.7791536271799,209.3438338553268,276.5227230522897,3384
110,202.49767131255047,208.35319310033893,209.05522734486485,276.5227230522897,3549
115,174.89476835233123,207.36723020858872,206.9946154505434,276.5227230522897,3716
120,204.4880571771051,220.21786203178084,207.07545860172476,276.5227230522897,3875
125,224.08645687835087,226.72733634133502,211.14549244873905,276.5227230522897,4036
130,213.5524797459675,219.35836459541807,209.87414657683465,276.5227230522897,4202
135,217.06670480761363,217.11320088952797,211.43185050805914,279.05367256260723,4357
140,189.0915244800582,205.26720786601564,210.41918985104348,279.05367256260723,4515
145,229.52587533596298,208.70179841370538,214.33774389606745,279.05367256260723,4674
150,197.1010639185663,225.56870491332938,215.75306650137657,279.05367256260723,4834
155,225.16701909615966,217.8064655283775,215.54320627630688,279.05367256260723,4995
160,220.75970182856636,227.42045759495005,219.56651940029883,279.05367256260723,5157
165,227.25576927805986,222.16355035551047,218.50247030569125,279.05367256260723,5318
170,203.71660641339602,208.90924155275235,217.3047953044931,279.05367256260723,5480
175,196.3360134729922,218.34733974960687,216.82647098734563,279.05367256260723,5639
180,240.20986299165838,211.80503851738234,215.79413008888594,279.05367256260723,5798
185,157.32136827083727,196.51912685658232,212.7076561807565,279.05367256260723,5957
190,234.46900850465357,213.5023029847314,217.4411491126291,279.05367256260723,6124
195,195.04371575178024,215.46035596963435,214.05936769194227,279.05367256260723,6283
200,234.2806716942695,199.39857169182105,212.20712246832738,279.05367256260723,6443
205,193.97438214787155,202.74117398884732,211.04630938403625,279.05367256260723,6603
210,192.19242046648037,206.80271580086566,208.08357410951055,279.05367256260723,6766
215,216.90890201495523,208.544220171816,208.32244334729734,279.05367256260723,6933
220,203.7842526648726,201.01637817272874,206.50500143350587,279.05367256260723,7094
225,194.55706403530775,199.4739901513695,204.54777342764987,279.05367256260723,7256
230,225.80115731691868,212.96484973043007,206.7369636761154,279.05367256260723,7415
235,198.42516582688643,223.19838769516028,209.8836255953655,279.05367256260723,7576
240,251.09602059652653,221.66953896096152,208.37041087136137,279.05367256260723,7738
245,195.39684237865157,211.95443245243388,209.1824408919254,279.05367256260723,7896
250,222.12392061495385,223.50674532606232,213.19204559820963,298.834956462888,8060
255,209.71934780696097,241.1227095897387,216.85874801210363,298.834956462888,8225
260,193.28137024704998,222.10247531304285,216.25199750064507,298.834956462888,8393
265,191.28931079726243,209.40189046950826,217.0302820716421,298.834956462888,8558
270,194.3336229131824,216.25288815088524,219.2992994962764,298.834956462888,8716
275,203.73807047155236,221.7562948785663,221.4867430170815,298.834956462888,8875
280,181.47655776501477,227.77090344179993,222.26051023855038,298.834956462888,9034
285,199.93471042939765,214.99836779235497,219.8467390365204,298.834956462888,9197
290,280.753097699019,213.3343899960866,220.59348044557538,298.834956462888,9358
295,200.98803774531373,208.41505592324455,219.13886373068257,298.834956462888,9517
300,190.71370652430423,206.15136915489808,217.1224052113425,298.834956462888,9677
305,226.08307911090688,218.8047484438056,214.67527150149596,298.834956462888,9844
310,218.29641618790816,220.5043191894807,216.80277398663011,298.834956462888,10008
315,207.1752054827354,234.93437847334204,219.78176910226273,298.834956462888,10173
320,244.85296071541774,239.83322515364102,221.51884138718128,298.834956462888,10333
325,228.7373145927882,224.76817500606185,220.3841451277618,298.834956462888,10493
330,247.18864743418072,223.78239341115335,220.72113938105198,298.834956462888,10651
335,221.45674735168996,229.43933085479313,223.2723377402494,298.834956462888,10815
340,220.3874223492474,217.38333987466658,221.53092935676793,298.834956462888,10977
345,212.45703956854132,217.33232650353125,225.05579185630674,298.834956462888,11140
350,232.25313055489715,220.14635425140645,224.32992637606964,298.834956462888,11303
355,186.81187196148647,206.65271986506735,222.62538614055913,298.834956462888,11461
360,238.4534919752651,212.950731953963,222.8192089289661,298.834956462888,11623
365,242.7752654678728,226.70830126919182,220.9801706997291,298.834956462888,11781
370,201.8975287481354,218.8772326229378,218.62801042282544,298.834956462888,11948
375,209.7313315338797,208.94994136689576,217.8165239718959,298.834956462888,12106
380,217.95088675979576,207.96095442235327,215.46372262506537,298.834956462888,12265
385,203.11093564454308,209.56010299657382,213.840678400252,298.834956462888,12426
390,261.882258145003,216.9017340644004,215.3674014630122,298.834956462888,12593
395,234.06605127896097,218.2312176988647,214.0204566393187,298.834956462888,12747
400,216.97820130852188,214.16715351865832,214.17156131646257,298.834956462888,12908
405,218.7985965290609,211.94835051455357,215.07958276921593,298.834956462888,13067
410,214.88294086998593,213.28590646298395,214.23859621826676,298.834956462888,13230
415,233.30315963872636,227.43922747193,215.22576800976356,302.6308020651863,13397
420,177.68105617769544,216.7079589085403,213.80474147538723,302.6308020651863,13557
425,240.0557722149294,207.748984959985,214.98557672838146,302.6308020651863,13719
430,269.2262985925982,214.61449520146954,215.1354496312105,302.6308020651863,13876
435,176.09632437886276,213.50773883084702,215.77510389523607,302.6308020651863,14036
440,219.89128609604822,216.59837967431798,215.07477875319404,302.6308020651863,14200
445,227.41800467606532,221.98984034088738,216.52682842364058,302.6308020651863,14359
450,200.60637861110524,218.55014240708266,215.9513765308789,302.6308020651863,14521
455,233.02246175927968,210.82676492886543,216.30251130650296,302.6308020651863,14684
460,225.5859001763381,212.36502611518608,215.76720046131933,302.6308020651863,14847
465,196.2704790340878,205.04121690962893,211.82290919404278,302.6308020651863,15011
470,210.05409567810506,202.82165811415396,212.98994030244202,302.6308020651863,15176
475,249.73510900913493,213.58625621882817,212.99036344581137,302.6308020651863,15338
480,239.98877793518767,219.50937893944064,213.96891705003628,302.6308020651863,15501
485,197.5530743283168,209.0873238439437,212.1062804484307,302.6308020651863,15663
490,194.37556998964573,198.0372015609336,210.25668142735944,302.6308020651863,15821
495,204.7199470362703,205.94113828963958,208.8965400381812,302.6308020651863,15984
500,151.27032417881418,208.34910983205745,208.21647491235439,302.6308020651863,16151
Epoch,Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
5,184.48946569813126,211.13788705228052,211.13788705228052,242.2117326978534,160
10,194.43662372102398,215.47036186987611,215.47036186987611,261.35380680606494,321
15,184.30888690365362,216.36760657747473,214.62436673574337,272.75196728556136,484
20,214.26213430299376,215.51814555612745,215.4942537130018,272.75196728556136,646
25,207.28967036024284,209.95472597521513,212.75651043153204,272.75196728556136,805
30,180.61731814357768,208.30646480179598,213.0983240759332,272.75196728556136,973
35,199.6353627534763,218.77901774100025,214.4772268056658,272.75196728556136,1131
40,241.19203580610719,220.35763608026508,214.91315207701618,272.75196728556136,1295
45,195.1989934390328,213.3512393524235,214.22700737161196,272.75196728556136,1456
50,174.03787985503172,201.6904423727101,212.26861013615493,272.75196728556136,1619
55,183.64858271140184,200.60482023003718,211.8114819752301,272.75196728556136,1780
60,201.05399575160772,200.5815200701606,209.29084177621186,272.75196728556136,1937
65,185.85981929872415,198.0646770859771,208.15089607693062,272.75196728556136,2098
70,229.90868743163847,207.56621381881882,207.70045542875013,272.75196728556136,2262
75,199.15292354159092,207.01520777147948,207.5629924361835,272.75196728556136,2425
80,176.93957201077356,207.90420208089805,207.62000288457048,272.75196728556136,2591
85,224.22976005652762,211.84996183218632,206.17718125442073,272.75196728556136,2753
90,238.61664175863885,213.68256854378075,206.28498937727366,272.75196728556136,2915
95,207.65431995628245,209.3836946757488,205.38367231908575,272.75196728556136,3070
100,216.06596606335287,203.58232902410975,206.66336670755362,272.75196728556136,3230
105,226.53621814005464,213.24450573581572,207.91160942024146,272.75196728556136,3389
110,203.00510052074173,207.42680485561718,208.03242366464497,272.75196728556136,3554
115,217.2943553569568,212.00354620438816,210.6993832439237,272.75196728556136,3715
120,216.16760714061965,219.93979211942968,210.50713932476708,272.75196728556136,3875
125,229.49753103870472,220.98693433878935,213.49372855738565,272.75196728556136,4043
130,293.41689701046505,237.74731158599275,216.47576122578602,293.41689701046505,4208
135,247.41935595403137,238.99184041467885,218.92210427388414,293.41689701046505,4372
140,236.26593250312035,235.18457084515913,220.77616168606167,293.41689701046505,4539
