Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
1449.0294328862692,1045.1973810189304,1045.1973810189304,1449.0294328862692,405
1391.2765139863593,1235.2554780031176,1235.2554780031176,1560.2682410801538,838
1284.0060712773254,1410.8902662114044,1288.9926378139132,1581.5376068877508,1261
1167.7645109485832,1389.6106451229234,1312.4330615630206,1600.6962508338388,1687
1560.770578846691,1462.4140001272906,1358.361182739264,1600.6962508338388,2140
1442.4107088023045,1482.5344233774315,1369.1335155011573,1614.4918333184678,2579
1538.1399255320086,1463.74174395415,1388.469914514946,1660.7359435740705,3040
1605.064034104011,1448.771941463685,1389.0431219917893,1660.7359435740705,3473
1344.287838937678,1379.613711646366,1386.5018694330392,1660.7359435740705,3915
1363.9493964375201,1358.05118462931,1382.844734519293,1660.7359435740705,4346
1427.7285827942005,1426.9462879685416,1428.7212019815502,1660.7359435740705,4794
1570.6023364251446,1476.948099857779,1431.183258890226,1660.7359435740705,5242
1343.9814519641363,1426.5882124130228,1431.860791221874,1660.7359435740705,5663
1439.3211748214137,1369.5590833700394,1427.172946539649,1660.7359435740705,6099
1553.5989558357473,1376.2973959831183,1414.6374703930396,1660.7359435740705,6525
1433.7190066004127,1448.2645075067194,1420.3189633655065,1725.447154274289,6967
1448.1877549510214,1420.2364870531578,1405.9364190128413,1725.447154274289,7389
1530.8767298854484,1395.138851502035,1409.5923453731766,1725.447154274289,7843
1215.5759226144908,1382.918087532073,1406.5972941899824,1725.447154274289,8265
1311.483854991905,1346.249400488626,1407.2319885450397,1725.447154274289,8682
1819.9738432756374,1377.7094918568453,1396.7499349676436,1819.9738432756374,9114
1513.7558844474358,1405.964619751842,1393.0352925238526,1819.9738432756374,9555
1344.6512350030312,1457.8219208239464,1402.9966766498283,1819.9738432756374,10006
1408.462813576318,1476.162306421298,1414.3559371341044,1819.9738432756374,10446
1452.161349917171,1398.4518736721648,1407.4275721876375,1819.9738432756374,10871
1417.4281837631659,1373.7620016913315,1399.4554359710266,1819.9738432756374,11303
1597.6168290455341,1412.836749461477,1405.9476246693018,1819.9738432756374,11739
1182.731565578921,1388.2170562938868,1398.071076929397,1819.9738432756374,12161
1399.2320676157171,1390.441848905137,1407.4523769439143,1819.9738432756374,12608
1530.084734293483,1425.4464225624506,1413.910481344162,1819.9738432756374,13040
1430.8811321876387,1397.1633251470025,1411.3431436019455,1819.9738432756374,13474
1497.0207738317595,1386.3615579143013,1409.9898689766537,1819.9738432756374,13906
1335.8122525518725,1372.766118479436,1394.3319831330434,1819.9738432756374,14339
1339.356754647806,1354.7616560293777,1385.7097388982695,1819.9738432756374,14760
1802.0407765170414,1497.250187947559,1414.0916459881223,1819.9738432756374,15234
1445.1004809368837,1497.6095508416247,1410.4792487283285,1819.9738432756374,15665
1343.1458170494416,1421.9922312239014,1415.9227423406069,1819.9738432756374,16113
1249.6849058618395,1442.4216576519218,1421.3201689999353,1819.9738432756374,16554
1375.989448557375,1379.8126056024437,1413.7968936800687,1819.9738432756374,16991
1219.9459017677145,1340.1311022498444,1404.2571049374137,1819.9738432756374,17423
1295.394536061145,1377.7029477748763,1409.9048182056433,1819.9738432756374,17868
1247.6219805284363,1370.5589328364026,1401.096579921834,1819.9738432756374,18291
1341.7486004819464,1408.1539172416594,1416.9823779580881,1819.9738432756374,18739
1528.2784402832333,1475.185488954671,1425.1813465068929,1819.9738432756374,19185
1445.2333021369882,1508.7859421851215,1419.2895288056004,1819.9738432756374,19654
1299.4122026154469,1462.6099212646639,1418.1814205915007,1819.9738432756374,20083
1373.281163880803,1374.1995479599411,1409.7309921528085,1819.9738432756374,20515
1521.5037857121188,1400.5957029652022,1409.816229654157,1819.9738432756374,20952
1365.3590654849038,1403.258709655902,1414.4202129635003,1819.9738432756374,21382
1436.7992116753687,1380.5468089316737,1417.8993709905228,1819.9738432756374,21816
1403.113115640857,1419.0144841194012,1422.6825202324048,1819.9738432756374,22241
1351.8170852892322,1496.8658502153555,1443.1607544663136,1819.9738432756374,22695
1308.2572183858133,1461.6888456792956,1433.3895059199326,1819.9738432756374,23135
1430.1414434200676,1427.936861067495,1433.7110288888784,1819.9738432756374,23579
1218.1607891243113,1383.2794530984288,1408.2882081025941,1819.9738432756374,24005
1349.4436275216863,1349.4575636415977,1411.080557364265,1819.9738432756374,24441
1194.21885560902,1335.1912534282862,1400.4865491962628,1819.9738432756374,24856
1245.399555526984,1398.9262410757838,1410.7466649863811,1819.9738432756374,25325
1485.533062036592,1521.5432793848017,1424.1434631420427,1819.9738432756374,25779
1368.5720998783825,1478.6167023783696,1430.3606436757202,1819.9738432756374,26208
1383.6406441133656,1412.014364315413,1422.7434391812449,1819.9738432756374,26645
1805.0313215404476,1434.6366159864235,1417.9147968299337,1819.9738432756374,27085
1313.8416880804148,1406.7215771979636,1411.7499854849789,1819.9738432756374,27510
1445.8897142498504,1378.0928074299886,1407.9459861024325,1819.9738432756374,27949
1291.7394557475413,1385.562341668114,1412.2065631989158,1819.9738432756374,28382
1346.5384933953023,1364.3773878252898,1410.929950939171,1819.9738432756374,28814
1372.7995230530728,1454.5544907502438,1436.079210663307,1819.9738432756374,29280
1377.0495284229564,1435.0837959533715,1418.1614619146887,1819.9738432756374,29690
1581.1591228509963,1389.2917937035227,1409.6289135270513,1819.9738432756374,30123
1392.84531222106,1410.8342436353923,1404.6049701660932,1819.9738432756374,30549
1483.4466426323336,1364.5185195115732,1400.1297445662835,1819.9738432756374,30974
1484.8919517511188,1371.1029037518208,1391.898227719173,1819.9738432756374,31399
1438.2193004812395,1387.7965803871434,1396.3447452041196,1819.9738432756374,31830
1366.4299522217234,1323.6092419349436,1381.0015146201636,1819.9738432756374,32239
1393.0701766218244,1328.8442278971495,1385.0011224499262,1819.9738432756374,32677
1313.9840996645378,1383.281448890974,1384.7823268333004,1819.9738432756374,33098
1345.3135261382968,1397.545584268255,1373.599341153529,1819.9738432756374,33550
1166.804735360612,1402.9554906760873,1378.3566657778438,1819.9738432756374,33966
1324.5027940727418,1399.2771540530455,1375.5964132234335,1819.9738432756374,34403
1260.7280876782565,1382.32599969839,1372.6550169904433,1819.9738432756374,34825
1557.5993216630368,1371.3707390591858,1376.966857132956,1819.9738432756374,35265
1555.9721397250803,1446.9392213421263,1387.8222805085045,1819.9738432756374,35722
1315.6732748171958,1420.7049917471263,1383.5485394049524,1819.9738432756374,36153
1539.8244573227528,1406.4482858007134,1404.3900892816582,1819.9738432756374,36597
1496.6902457886931,1514.5937270842567,1420.6984392423738,1819.9738432756374,37052
1340.7407953701625,1448.7313320133887,1417.480065906141,1819.9738432756374,37471
1227.549900667214,1327.8247382546112,1406.7542700396452,1819.9738432756374,37894
1355.203141030398,1285.995129737763,1394.0879937184761,1819.9738432756374,38297
1438.6536714045392,1308.739586983899,1388.6467566258157,1819.9738432756374,38725
1227.5769626100714,1363.2849320536784,1390.2797801895338,1819.9738432756374,39161
1226.9446814248672,1350.1066506961001,1384.393938953199,1819.9738432756374,39599
1394.2157217864553,1391.5510441583247,1379.2021447527734,1863.5480923528205,40038
1537.2460146629544,1467.428883159912,1393.738717235756,1863.5480923528205,40492
1615.3723989142559,1515.0312547634774,1400.9187385453267,1863.5480923528205,40968
1525.1941980562733,1525.6811315052869,1395.9561981199618,1863.5480923528205,41427
1351.9233608534475,1477.0592577743614,1406.5843236975209,1863.5480923528205,41871
1394.8120415260942,1424.544188371607,1415.3000881433607,1863.5480923528205,42311
1203.0871491273354,1375.9884988171361,1424.5829975133954,1863.5480923528205,42732
1164.3725350487102,1360.9687109935137,1425.7459129452839,1863.5480923528205,43171
1236.9324009065663,1422.6158819398406,1436.449187490628,1863.5480923528205,43616
