Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
262.4284155246818,251.74191660435267,251.74191660435267,269.1318134509693,162
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
262.4284155246818,251.74191660435267,251.74191660435267,269.1318134509693,162
178.44766145803186,251.25492002926222,251.25492002926222,297.3914668308738,329
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
262.4284155246818,251.74191660435267,251.74191660435267,269.1318134509693,162
178.44766145803186,251.25492002926222,251.25492002926222,297.3914668308738,329
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
262.4284155246818,251.74191660435267,251.74191660435267,269.1318134509693,162
178.44766145803186,251.25492002926222,251.25492002926222,297.3914668308738,329
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
262.4284155246818,251.74191660435267,251.74191660435267,269.1318134509693,162
178.44766145803186,251.25492002926222,251.25492002926222,297.3914668308738,329
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
262.4284155246818,251.74191660435267,251.74191660435267,269.1318134509693,162
178.44766145803186,251.25492002926222,251.25492002926222,297.3914668308738,329
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
262.4284155246818,251.74191660435267,251.74191660435267,269.1318134509693,162
178.44766145803186,251.25492002926222,251.25492002926222,297.3914668308738,329
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
262.4284155246818,251.74191660435267,251.74191660435267,269.1318134509693,162
178.44766145803186,251.25492002926222,251.25492002926222,297.3914668308738,329
