Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
574.280347857627,574.280347857627,589.1868797433799,589.1868797433799,589.1868797433799
572.4878307542981,572.4878307542981,591.0214283598259,591.0214283598259,592.8559769762718
573.0569178230608,573.0569178230608,592.0632437448556,592.0632437448556,594.1468745149149
568.800325022756,568.800325022756,583.8060395663827,583.8060395663827,594.1468745149149
579.100220657425,579.100220657425,578.5184087444115,578.5184087444115,594.1468745149149
576.3878637833102,576.3878637833102,571.9744734916193,571.9744734916193,594.1468745149149
575.2694551422885,575.2694551422885,576.2255792172734,576.2255792172734,601.7322135711987
580.1550455518505,580.1550455518505,572.395569141387,572.395569141387,601.7322135711987
574.7213116243526,574.7213116243526,570.819954863887,570.819954863887,601.7322135711987
577.4445182913263,577.4445182913263,574.270672895681,574.270672895681,605.3271351818264
572.4650529788552,572.4650529788552,568.7457503821204,570.6040348695077,605.3271351818264
579.7631155115135,579.7631155115135,567.9157915575586,571.7667310246031,605.3271351818264
579.5606254299335,579.5606254299335,565.1540198715219,571.3638407653681,605.3271351818264
576.3197804723484,576.3197804723484,565.0213079125062,570.3883740993282,605.3271351818264
579.0779968185825,579.0779968185825,557.6931447908482,564.6348994420362,605.3271351818264
573.3079199422104,573.3079199422104,556.0785685793111,562.0395329214266,605.3271351818264
577.4034399135775,577.4034399135775,557.7350277128818,565.3487842146901,618.296804906905
568.2009577510823,568.2009577510823,561.2077164746737,566.1800954376574,618.296804906905
578.7525672702906,578.7525672702906,562.2359070289932,566.302034950785,618.296804906905
577.340776499008,577.340776499008,561.0596255356601,567.6651492156705,618.296804906905
575.2147054866668,575.2147054866668,561.744837162508,566.3853692947459,618.296804906905
577.3511052864704,577.3511052864704,560.0901215693214,566.4591812722024,618.296804906905
576.7913897279236,576.7913897279236,560.3366407540532,566.5694059778399,618.296804906905
572.4000309527805,572.4000309527805,558.4514620092679,565.4146607284697,618.296804906905
