Epoch,Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
215,345.19930479772336,322.7175598495073,324.0282708999592,367.99548188142177,7210
220,347.61425105701693,330.8500992922097,325.9729405300418,372.4431956415318,7389
225,333.39933180420576,334.6519533142217,327.23582420375294,372.4431956415318,7564
230,359.45928381950006,322.10468317214395,324.4343415639519,372.4431956415318,7735
235,296.0557375061693,315.99727473027,325.06434406694393,372.4431956415318,7901
240,327.7995870571961,312.087093834706,324.14172914431185,372.4431956415318,8065
245,328.7448515353065,315.8078908884393,323.2214034368884,372.4431956415318,8235
250,313.37138010140467,322.4625045745107,323.9056440891231,372.4431956415318,8400
255,345.16290218844404,324.6730154046578,322.7695388374192,372.4431956415318,8572
260,341.04875317924876,333.48370641653815,324.1976174580217,372.4431956415318,8747
265,293.93628751890736,319.5966009758348,322.1453470626847,372.4431956415318,8911
270,318.99964123753387,310.216202813808,320.0708381623414,372.4431956415318,9078
275,335.63817983955425,316.07357893403497,318.4296721866473,372.4431956415318,9241
280,326.9458787590256,323.9567725882182,320.4412560455562,372.4431956415318,9408
285,334.59336128539763,331.3373884017452,321.49769492094237,372.4431956415318,9574
290,335.48806112420203,325.8733044407537,323.1984981667658,372.4431956415318,9742
295,311.6953979309702,321.792158409863,322.6945484252272,372.4431956415318,9914
300,337.05521939751054,325.0339938101371,323.712796013891,372.4431956415318,10082
305,291.42747080738616,323.72697420383776,322.5053401850631,372.4431956415318,10248
310,314.24285059225406,309.3733227771408,318.8907192860116,372.4431956415318,10417
315,280.11441033462086,309.8492810166119,320.5558761932185,372.4431956415318,10591
320,318.97763602838006,316.67491757004325,320.18246223725856,372.4431956415318,10755
325,315.5536596407871,310.1958025776577,319.3803209219431,372.4431956415318,10915
330,295.920397379518,313.4380405735113,318.0787158343172,372.4431956415318,11080
335,277.74216538066094,320.12730960072435,317.138305161739,372.4431956415318,11249
340,324.5992807814111,324.3126663063755,317.76658820744154,372.4431956415318,11417
345,334.20917385518595,336.9455624078178,320.16898596132995,372.4431956415318,11589
350,336.3201490474793,333.904698171286,319.54072907967134,372.4431956415318,11757
355,300.51118020109715,318.0987737915495,319.0433458788723,372.4431956415318,11922
360,304.72693715266644,316.0050857185608,320.86708166795535,372.4431956415318,12091
365,315.5282371840823,325.48165062012725,322.16981979957535,372.4431956415318,12259
370,341.95041890326394,329.68139783870913,323.4683777216885,372.4431956415318,12422
375,327.5992671392348,331.2757966808749,326.3858186202188,372.4431956415318,12589
