epoch,episode,step,reward,timestamp,uav_movement,denoising_steps,uav_movement_magnitude,state_mean,state_std,state_min,state_max,energy_total,energy_transmission,energy_processing,energy_efficiency_per_ue,latency_total_avg,latency_upload_avg,latency_processing_avg,latency_download_avg,latency_deadline_violations,qos_quality_score_avg,qos_denoising_efficiency,qos_quality_requirements_met,qos_quality_violations,completion_rate,genai_completion_rate,dnn_completion_rate,total_genai_ues,total_dnn_ues,current_processing_ue,current_processing_type
0,0,0,14.0,2025-08-06T14:46:26.361750,"[-0.9999999403953552, 0.9999999403953552, 0.3601219058036804]","[11, 11, 25]",1.4593449,0.042418517,0.22181144,-1.0,0.47368422,0.4741901054109835,0.4741901054109835,0.0,0.15806336847032784,0.0,0.10000000000000002,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,0,0,processing
0,0,1,28.999920849820498,2025-08-06T14:46:26.365436,"[-0.9429967999458313, 0.6739904880523682, 0.9999999403953552]","[19, 3, 25]",1.5308515,0.16132692,0.31471926,-0.4071992,1.0,19.474816914973893,0.474816914973892,19.0,6.491605638324631,2.05,0.10000000000000002,1.9000000000000001,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,-1,upload
0,0,2,28.999917482420138,2025-08-06T14:46:26.369031,"[-0.7395674586296082, -0.9999999403953552, -0.2734772562980652]","[25, 25, 23]",1.2734793,0.1842642,0.40709054,-1.0,1.0,20.474587818795225,0.4745878187952254,20.0,6.824862606265075,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,1,processing
0,0,3,43.99988354715551,2025-08-06T14:46:26.372708,"[0.9999999403953552, -0.8361150026321411, -0.8146752715110779]","[25, 21, 5]",1.537135,0.22445919,0.38258702,-0.4071992,1.0,40.47414159577817,0.47414159577817117,40.0,13.491380531926056,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,2,0,0.6666666666666666,0.6666666666666666,0.0,3,0,-1,upload
0,0,4,32.62059068221588,2025-08-06T14:46:26.376350,"[0.5983799695968628, -0.4328615367412567, -0.9999999403953552]","[12, 25, 4]",1.2431523,0.22382,0.43557718,-1.0,1.0,32.47344411277589,0.4734441127758845,32.0,10.824481370925296,1.75,0.10000000000000002,1.6,0.05,0,20.5,0.8262872437819424,1,1,0.6666666666666666,0.6666666666666666,0.0,3,0,2,processing
0,0,5,58.46535881558075,2025-08-06T14:46:26.380104,"[-0.7421503067016602, 0.9999999403953552, -0.4000408947467804]","[25, 25, 25]",1.307983,0.26283503,0.39777932,-0.4071992,1.0,60.47289629130329,0.4728962913032941,60.0,20.157632097101096,2.15,0.10000000000000002,2.0,0.05000000000000001,0,15.0,1.0,3,0,1.0,1.0,0.0,3,0,-1,idle
0,1,0,14.0,2025-08-06T14:46:26.383883,"[-0.9999999403953552, 0.9999999403953552, -0.9999999403953552]","[6, 25, 24]",1.7320507,0.05140348,0.23947206,-1.0,0.47368422,0.5945108361675563,0.5945108361675563,0.0,0.19817027872251877,0.0,0.10000000000000002,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,0,0,processing
0,1,1,28.999822485013954,2025-08-06T14:46:26.387500,"[0.9999999403953552, -0.9999999403953552, 0.957697868347168]","[25, 1, 25]",1.7079768,0.17383195,0.33963838,-0.36997142,1.0,20.59587062755726,0.5958706275572625,20.0,6.865290209185754,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,-1,upload
0,1,2,28.999870397863678,2025-08-06T14:46:26.391060,"[0.9999999403953552, 0.5392014980316162, 0.9999999403953552]","[14, 25, 23]",1.5135185,0.19266069,0.4166631,-1.0,1.0,14.596818107895645,0.5968181078956426,14.000000000000002,4.865606035965215,1.5500000000000003,0.10000000000000002,1.4000000000000001,0.05,0,22.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,1,processing
0,1,3,28.999822378948053,2025-08-06T14:46:26.394599,"[-0.8554344177246094, 0.9999999403953552, 0.4077928364276886]","[20, 14, 21]",1.377702,0.23354466,0.37343848,-0.36997142,1.0,20.59648431491916,0.5964843149191604,20.0,6.86549477163972,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,1,processing
0,1,4,43.999644801132476,2025-08-06T14:46:26.398245,"[-0.8235144019126892, 0.9999999403953552, -0.3283612132072449]","[25, 25, 25]",1.336412,0.24090661,0.37476707,-0.36997142,1.0,40.595641528810646,0.5956415288106477,40.0,13.531880509603548,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,2,0,0.6666666666666666,0.6666666666666666,0.0,3,0,-1,upload
0,1,5,43.99964499302239,2025-08-06T14:46:26.401878,"[-0.9999999403953552, -0.056711647659540176, -0.9999999403953552]","[25, 23, 23]",1.4153502,0.25184596,0.45461342,-1.0,1.0,40.59455605633721,0.5945560563372094,40.0,13.531518685445738,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,2,0,0.6666666666666666,0.6666666666666666,0.0,3,0,2,processing
0,1,6,43.99969308829119,2025-08-06T14:46:26.405478,"[0.9999999403953552, -0.9999999403953552, -0.6972314715385437]","[16, 18, 25]",1.5767471,0.27999175,0.42072245,-0.36997142,1.0,34.59473826836793,0.5947382683679272,34.0,11.531579422789308,1.85,0.10000000000000002,1.7000000000000002,0.05,0,16.5,1.0,2,0,0.6666666666666666,0.6666666666666666,0.0,3,0,2,processing
0,1,7,158.99946739799793,2025-08-06T14:46:26.409211,"[0.9999999403953552, -0.5843411684036255, 0.43500110507011414]","[25, 25, 25]",1.2372067,0.28836003,0.40968132,-0.36997142,1.0,60.595607522101176,0.5956075221011737,60.0,20.19853584070039,2.15,0.10000000000000002,2.0,0.05000000000000001,0,15.0,1.0,3,0,1.0,1.0,0.0,3,0,-1,idle
0,2,0,14.0,2025-08-06T14:46:26.412957,"[0.9873706698417664, 0.9999999403953552, 0.2620416581630707]","[6, 13, 25]",1.4295336,0.037952647,0.20966919,-1.0,0.47368422,0.34870532695868456,0.34870532695868456,0.0,0.11623510898622819,0.0,0.10000000000000002,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,0,0,processing
0,2,1,28.999981606829387,2025-08-06T14:46:26.416536,"[0.40966567397117615, -0.9999999403953552, 0.08468026667833328]","[25, 12, 8]",1.0839726,0.17433152,0.32055384,-0.13873897,1.0,20.348977431594992,0.3489774315949932,20.0,6.782992477198331,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,-1,upload
0,2,2,28.99998222170807,2025-08-06T14:46:26.420100,"[0.8357012271881104, 0.9999999403953552, -0.9999999403953552]","[18, 25, 24]",1.6426796,0.17592318,0.39153498,-1.0,1.0,18.348064659785106,0.34806465978510476,18.0,6.116021553261702,1.9500000000000002,0.10000000000000002,1.8,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,1,processing
0,2,3,43.99990041106571,2025-08-06T14:46:26.423744,"[0.9999999403953552, -0.9109444618225098, -0.5349624752998352]","[16, 25, 18]",1.4546492,0.22172627,0.37097827,-0.13873897,1.0,36.34783028026166,0.3478302802616602,36.0,12.115943426753887,1.9500000000000002,0.10000000000000002,1.8,0.05,0,16.5,1.0,2,0,0.6666666666666666,0.6666666666666666,0.0,3,0,-1,upload
0,2,4,43.999916239769014,2025-08-06T14:46:26.427392,"[0.6531118750572205, 0.9999999403953552, 0.42609351873397827]","[24, 15, 25]",1.268113,0.23023665,0.43544343,-1.0,1.0,35.348426764424914,0.3484267644249158,35.0,11.782808921474972,1.9,0.10000000000000002,1.75,0.05,0,17.5,1.0,2,0,0.6666666666666666,0.6666666666666666,0.0,3,0,2,processing
0,2,5,158.99988424969808,2025-08-06T14:46:26.431103,"[-0.9999999403953552, 0.9999999403953552, 0.7939820885658264]","[25, 19, 25]",1.6218531,0.27568057,0.39972526,-0.13873897,1.0,59.34894040869156,0.3489404086915604,59.0,19.78298013623052,2.1166666666666667,0.10000000000000002,1.9666666666666668,0.05000000000000001,0,15.0,1.0,3,0,1.0,1.0,0.0,3,0,-1,idle
